scenario_name,fold,approach,normalized_par_10
ASP-POTASSCO,1.0,ours,0.3007773404470292
ASP-POTASSCO,2.0,ours,0.12548183416071967
ASP-POTASSCO,3.0,ours,0.4175546657060341
ASP-POTASSCO,4.0,ours,0.236897262126013
ASP-POTASSCO,5.0,ours,0.13478255427762476
ASP-POTASSCO,6.0,ours,0.17391327362567108
ASP-POTASSCO,7.0,ours,0.06886971419561555
ASP-POTASSCO,8.0,ours,0.28202840273105007
ASP-POTASSCO,9.0,ours,0.21614748987909
ASP-POTASSCO,10.0,ours,0.2640738662214057
BNSL-2016,1.0,ours,0.13779986574714184
BNSL-2016,2.0,ours,0.038796912614862074
BNSL-2016,3.0,ours,0.326951336186915
BNSL-2016,4.0,ours,0.29004450455913594
BNSL-2016,5.0,ours,0.46247328206319666
BNSL-2016,6.0,ours,0.060041978179672044
BNSL-2016,7.0,ours,0.17565242863767794
BNSL-2016,8.0,ours,0.08908451771024675
BNSL-2016,9.0,ours,0.08049417949973614
BNSL-2016,10.0,ours,0.18366371165345458
CPMP-2015,1.0,ours,0.4767054960091335
CPMP-2015,2.0,ours,0.45718727359515104
CPMP-2015,3.0,ours,0.6040888753020365
CPMP-2015,4.0,ours,0.8410003321566345
CPMP-2015,5.0,ours,0.7886531994969269
CPMP-2015,6.0,ours,0.4020350209550646
CPMP-2015,7.0,ours,0.7735231857795627
CPMP-2015,8.0,ours,1.393608724573117
CPMP-2015,9.0,ours,0.49910496720819797
CPMP-2015,10.0,ours,0.5969609337904277
GRAPHS-2015,1.0,ours,inf
GRAPHS-2015,2.0,ours,inf
GRAPHS-2015,3.0,ours,inf
GRAPHS-2015,4.0,ours,inf
GRAPHS-2015,5.0,ours,inf
GRAPHS-2015,6.0,ours,inf
GRAPHS-2015,7.0,ours,inf
GRAPHS-2015,8.0,ours,inf
GRAPHS-2015,9.0,ours,inf
GRAPHS-2015,10.0,ours,inf
CSP-2010,1.0,ours,inf
CSP-2010,2.0,ours,inf
CSP-2010,3.0,ours,inf
CSP-2010,4.0,ours,inf
CSP-2010,5.0,ours,inf
CSP-2010,6.0,ours,inf
CSP-2010,7.0,ours,inf
CSP-2010,8.0,ours,inf
CSP-2010,9.0,ours,inf
CSP-2010,10.0,ours,inf
CSP-Minizinc-Time-2016,1.0,ours,inf
CSP-Minizinc-Time-2016,2.0,ours,inf
CSP-Minizinc-Time-2016,3.0,ours,inf
CSP-Minizinc-Time-2016,4.0,ours,inf
CSP-Minizinc-Time-2016,5.0,ours,inf
CSP-Minizinc-Time-2016,6.0,ours,inf
CSP-Minizinc-Time-2016,7.0,ours,inf
CSP-Minizinc-Time-2016,8.0,ours,inf
CSP-Minizinc-Time-2016,9.0,ours,inf
CSP-Minizinc-Time-2016,10.0,ours,inf
CSP-MZN-2013,1.0,ours,inf
CSP-MZN-2013,2.0,ours,inf
CSP-MZN-2013,3.0,ours,inf
CSP-MZN-2013,4.0,ours,inf
CSP-MZN-2013,5.0,ours,inf
CSP-MZN-2013,6.0,ours,inf
CSP-MZN-2013,7.0,ours,inf
CSP-MZN-2013,8.0,ours,inf
CSP-MZN-2013,9.0,ours,inf
CSP-MZN-2013,10.0,ours,inf
MAXSAT-PMS-2016,1.0,ours,inf
MAXSAT-PMS-2016,2.0,ours,inf
MAXSAT-PMS-2016,3.0,ours,inf
MAXSAT-PMS-2016,4.0,ours,inf
MAXSAT-PMS-2016,5.0,ours,inf
MAXSAT-PMS-2016,6.0,ours,inf
