approach,fold,metric,num_solvers_in_schedule,result,scenario_name
sbs,1.0,par10,,13141.6,CPMP-2015
sbs,1.0,number_unsolved_instances_False,,0.36,CPMP-2015
sbs,1.0,number_unsolved_instances_True,,0.36,CPMP-2015
oracle,1.0,par10,,143.76,CSP-2010
sbs,1.0,par10,,1851.56,CSP-2010
sbs,1.0,number_unsolved_instances_False,,0.03,CSP-2010
sbs,1.0,number_unsolved_instances_True,,0.03,CSP-2010
oracle,1.0,par10,,24.1,CSP-Minizinc-Time-2016
sbs,1.0,par10,,9423.99,BNSL-2016
sbs,1.0,par10,,1519.13,CSP-Minizinc-Time-2016
sbs,1.0,number_unsolved_instances_False,,0.13,BNSL-2016
sbs,1.0,number_unsolved_instances_False,,0.12,CSP-Minizinc-Time-2016
sbs,1.0,number_unsolved_instances_True,,0.13,BNSL-2016
sbs,1.0,number_unsolved_instances_True,,0.12,CSP-Minizinc-Time-2016
sbs,1.0,par10,,534.21,ASP-POTASSCO
sbs,1.0,number_unsolved_instances_False,,0.08,ASP-POTASSCO
sbs,1.0,number_unsolved_instances_True,,0.08,ASP-POTASSCO
oracle,1.0,par10,,106.35,CSP-MZN-2013
sbs,1.0,par10,,5863.76,CSP-MZN-2013
sbs,1.0,number_unsolved_instances_False,,0.32,CSP-MZN-2013
sbs,1.0,number_unsolved_instances_True,,0.32,CSP-MZN-2013
sbs,1.0,par10,,3828277.04,GRAPHS-2015
sbs,1.0,number_unsolved_instances_False,,0.0,GRAPHS-2015
sbs,1.0,number_unsolved_instances_True,,0.0,GRAPHS-2015
sbs,1.0,par10,,733.83,MAXSAT-PMS-2016
sbs,1.0,number_unsolved_instances_False,,0.04,MAXSAT-PMS-2016
sbs,1.0,number_unsolved_instances_True,,0.04,MAXSAT-PMS-2016
oracle,1.0,par10,,30.65,MAXSAT-PMS-2016
sbs,1.0,par10,,2138.37,MAXSAT-WPMS-2016
sbs,1.0,number_unsolved_instances_False,,0.11,MAXSAT-WPMS-2016
sbs,1.0,number_unsolved_instances_True,,0.11,MAXSAT-WPMS-2016
oracle,1.0,par10,,64.95,MAXSAT-WPMS-2016
sbs,1.0,par10,,2947.36,MAXSAT12-PMS
sbs,1.0,number_unsolved_instances_False,,0.14,MAXSAT12-PMS
sbs,1.0,number_unsolved_instances_True,,0.14,MAXSAT12-PMS
oracle,1.0,par10,,26.79,MAXSAT12-PMS
sbs,1.0,par10,,769.98,MAXSAT15-PMS-INDU
sbs,1.0,number_unsolved_instances_False,,0.04,MAXSAT15-PMS-INDU
sbs,1.0,number_unsolved_instances_True,,0.04,MAXSAT15-PMS-INDU
oracle,1.0,par10,,52.55,MAXSAT15-PMS-INDU
sbs,1.0,par10,,3660.23,MIP-2016
sbs,1.0,number_unsolved_instances_False,,0.05,MIP-2016
sbs,1.0,number_unsolved_instances_True,,0.05,MIP-2016
oracle,1.0,par10,,288.41,MIP-2016
sbs,1.0,par10,,10783.61,PROTEUS-2014
sbs,1.0,number_unsolved_instances_False,,0.3,PROTEUS-2014
sbs,1.0,number_unsolved_instances_True,,0.3,PROTEUS-2014
sbs,1.0,par10,,10622.25,QBF-2011
sbs,1.0,number_unsolved_instances_False,,0.29,QBF-2011
sbs,1.0,number_unsolved_instances_True,,0.29,QBF-2011
oracle,1.0,par10,,141.6,QBF-2011
sbs,1.0,par10,,2209.14,QBF-2014
sbs,1.0,number_unsolved_instances_False,,0.24,QBF-2014
sbs,1.0,number_unsolved_instances_True,,0.24,QBF-2014
oracle,1.0,par10,,54.02,QBF-2014
sbs,1.0,par10,,2524.83,QBF-2016
sbs,1.0,number_unsolved_instances_False,,0.14,QBF-2016
sbs,1.0,number_unsolved_instances_True,,0.14,QBF-2016
oracle,1.0,par10,,3.98,QBF-2016
sbs,1.0,par10,,5080.46,SAT03-16_INDU
sbs,1.0,number_unsolved_instances_False,,0.11,SAT03-16_INDU
sbs,1.0,number_unsolved_instances_True,,0.12,SAT03-16_INDU
sbs,1.0,par10,,20021.12,SAT11-HAND
